country;degree_centrality;vulnerability;exportation_strength;hubness;period
AZ;0,02;0,0;0,0;0,4;202203
FI;0,15;0,9;0,0;0,49;202203
ZA;0,02;0,0;0,0;0,46;202203
MY;0,04;0,0;0,0;0,48;202203
IN;0,1;0,0;0,01;0,52;202203
TW;0,04;0,0;0,0;0,48;202203
DZ;0,06;0,0;0,0;0,43;202203
LY;0,02;0,0;0,0;0,4;202203
KR;0,08;0,0;0,01;0,51;202203
NG;0,04;0,0;0,0;0,4;202203
LU;0,06;0,96;0,0;0,46;202203
SI;0,13;0,9;0,0;0,5;202203
VN;0,04;0,0;0,0;0,48;202203
BR;0,06;0,0;0,0;0,5;202203
GR;0,08;0,92;0,0;0,49;202203
MA;0,04;0,0;0,0;0,4;202203
IQ;0,02;0,0;0,0;0,4;202203
MX;0,02;0,0;0,0;0,46;202203
BG;0,08;0,96;0,0;0,47;202203
SA;0,02;0,0;0,0;0,42;202203
LT;0,06;0,96;0,0;0,47;202203
LV;0,02;0,98;0,0;0,32;202203
HR;0,04;0,96;0,0;0,48;202203
BD;0,02;0,0;0,0;0,46;202203
AU;0,02;0,0;0,0;0,42;202203
KZ;0,04;0,0;0,0;0,48;202203
CA;0,02;0,0;0,0;0,46;202203
TH;0,04;0,0;0,0;0,48;202203
ID;0,02;0,0;0,0;0,42;202203
NL;0,83;0,43;0,1;0,72;202204
DE;1,09;0,3;0,15;0,79;202204
CN;0,3;0,0;0,1;0,58;202204
FR;0,61;0,57;0,05;0,63;202204
BE;0,5;0,67;0,06;0,6;202204
IT;0,81;0,48;0,05;0,7;202204
PL;0,56;0,7;0,04;0,61;202204
AT;0,33;0,8;0,02;0,56;202204
US;0,19;0,0;0,06;0,55;202204
CZ;0,33;0,83;0,03;0,55;202204
ES;0,5;0,63;0,04;0,61;202204
CH;0,15;0,0;0,02;0,53;202204
NO;0,13;0,0;0,03;0,52;202204
GB;0,17;0,0;0,04;0,53;202204
IE;0,22;0,85;0,02;0,5;202204
RU;0,26;0,0;0,04;0,57;202204
PT;0,17;0,89;0,01;0,52;202204
HU;0,3;0,83;0,01;0,54;202204
SE;0,37;0,78;0,02;0,56;202204
DK;0,2;0,85;0,01;0,53;202204
RO;0,2;0,85;0,01;0,52;202204
TR;0,15;0,0;0,01;0,53;202204
AZ;0,02;0,0;0,0;0,42;202204
SK;0,2;0,89;0,01;0,47;202204
JP;0,09;0,0;0,01;0,49;202204
FI;0,15;0,91;0,0;0,48;202204
IN;0,11;0,0;0,01;0,52;202204
DZ;0,04;0,0;0,0;0,43;202204
TW;0,04;0,0;0,0;0,47;202204
MY;0,04;0,0;0,0;0,47;202204
ZA;0,02;0,0;0,0;0,45;202204
LY;0,04;0,0;0,0;0,43;202204
KR;0,07;0,0;0,01;0,51;202204
NG;0,06;0,0;0,0;0,45;202204
VN;0,04;0,0;0,0;0,47;202204
SI;0,11;0,93;0,0;0,49;202204
MA;0,04;0,0;0,0;0,4;202204
LU;0,06;0,96;0,0;0,45;202204
BR;0,09;0,0;0,01;0,51;202204
MX;0,04;0,0;0,0;0,45;202204
IQ;0,04;0,0;0,0;0,42;202204
GR;0,09;0,91;0,0;0,49;202204
KZ;0,04;0,0;0,0;0,46;202204
SA;0,04;0,0;0,0;0,46;202204
LT;0,06;0,96;0,0;0,46;202204
LV;0,02;0,98;0,0;0,32;202204
BD;0,02;0,0;0,0;0,45;202204
QA;0,02;0,0;0,0;0,42;202204
BG;0,09;0,94;0,0;0,46;202204
