country;degree_centrality;vulnerability;exportation_strength;hubness;period
AO;0,02;0,0;0,0;0,42;202212
TR;0,11;0,0;0,01;0,51;202212
RU;0,18;0,0;0,02;0,54;202212
AZ;0,02;0,0;0,0;0,41;202212
JP;0,09;0,0;0,01;0,51;202212
FI;0,16;0,91;0,01;0,49;202212
MY;0,04;0,0;0,0;0,47;202212
TW;0,04;0,0;0,0;0,47;202212
IN;0,09;0,0;0,01;0,51;202212
SA;0,07;0,0;0,01;0,49;202212
KR;0,09;0,0;0,01;0,5;202212
GR;0,09;0,93;0,0;0,48;202212
BG;0,05;0,98;0,0;0,45;202212
VN;0,04;0,0;0,0;0,47;202212
LY;0,02;0,0;0,0;0,41;202212
ZA;0,04;0,0;0,0;0,47;202212
BR;0,07;0,0;0,0;0,5;202212
LU;0,04;0,96;0,0;0,46;202212
KZ;0,05;0,0;0,0;0,49;202212
SI;0,11;0,93;0,0;0,48;202212
QA;0,04;0,0;0,0;0,42;202212
MX;0,04;0,0;0,0;0,46;202212
LT;0,07;0,95;0,0;0,47;202212
MA;0,04;0,0;0,0;0,41;202212
EE;0,02;0,98;0,0;0,33;202212
HR;0,04;0,96;0,0;0,47;202212
SG;0,02;0,0;0,0;0,42;202212
EG;0,02;0,0;0,0;0,41;202212
NG;0,04;0,0;0,0;0,41;202212
TH;0,04;0,0;0,0;0,47;202212
CA;0,04;0,0;0,0;0,47;202212
UA;0,02;0,0;0,0;0,38;202212
IQ;0,02;0,0;0,0;0,42;202212
LV;0,02;0,98;0,0;0,32;202212
BD;0,02;0,0;0,0;0,45;202212
